出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1131117,11310,2855,統一證,金融保險業,960369,691391,120047,38.90389085192026,699.9941689504944,11219795,7470791,50.18215608,今年單月營收及累計營收較去年同期增加，主因今年泛自營業務操作獲利優於去年同期所致。
1131117,11310,2867,三商壽,金融保險業,8780488,8969138,6431665,-2.103323642,36.51967258866872,112715281,103552790,8.848135332712909,-
1131117,11310,2880,華南金,金融保險業,5694515,5428595,4642623,4.898505045964932,22.657278008574032,56799383,49637910,14.427426537499262,-
1131117,11310,2881,富邦金,金融保險業,29675707,22774883,13798462,30.300151267516938,115.06532394697322,273587400,167323161,63.50838602672585,本月及本年累計營業收入較去年本月及去年累計營業收入增加，主係保險淨收益及投資相關淨收益增加所致。
1131117,11310,2882,國泰金,金融保險業,20339672,19530721,26127781,4.141941303651821,-22.15308296,308342864,268568639,14.809705685703683,-
1131117,11310,2883,凱基金,金融保險業,4459714,10037434,3413694,-55.56918232,30.64187944203552,56877043,41554999,36.87172270176207,-
1131117,11310,2884,玉山金,金融保險業,5256641,6863663,6126776,-23.4134747,-14.20216767,63848675,54317260,17.547672691884678,-
1131117,11310,2885,元大金,金融保險業,10069782,9380551,6299530,7.3474468610639185,59.849734821486685,100066343,84121997,18.953836771136093,本月營業收入淨額較去年同期增加，主係透過損益按公允價值衡量之金融資產及負債利益增加所致。
1131117,11310,2886,兆豐金,金融保險業,6192094,6705139,5334433,-7.65151923,16.07782870269436,71676472,62989359,13.791397686710862,-
1131117,11310,2887,台新金,金融保險業,6575122,7110453,5254459,-7.528788953,25.134138452693225,72865178,58547046,24.455771859096018,-
1131117,11310,2888,新光金,金融保險業,-2429484,54748,-1473530,-4537.575802,-64.87509586,28732196,28995960,-0.909657759,本月營業收入相較去年減少，主係投資相關淨收益減少所致。
1131117,11310,2889,國票金,金融保險業,613301,566190,390164,8.320705063671205,57.19056601839227,6833565,5808404,17.649615970238983,本月利息淨收益、手續費及佣金淨收益、透過損益按公允價值衡量之金融資產淨損益合計較去年同期增加約2.26億元。
1131117,11310,2890,永豐金,金融保險業,5112004,5314128,3734834,-3.803521481,36.873660248353744,55158146,44815848,23.077323004130147,-
1131117,11310,2891,中信金,金融保險業,15894438,16301304,11787572,-2.495910757,34.840644027455355,157177431,118671133,32.44790626546053,-
1131117,11310,2892,第一金,金融保險業,5299215,5578878,4745083,-5.012889689,11.678025442336835,60661753,56463504,7.435332033236903,-
1131117,11310,2897,王道銀行,金融保險業,672312,780879,691205,-13.90317834,-2.733342496,8870957,8198228,8.205785445,-
1131117,11310,2901,欣欣,貿易百貨,10911,10926,11571,-0.137287205,-5.70391496,111628,109718,1.7408264824367925,-
1131117,11310,2903,遠百,貿易百貨,3480681,2575431,3624942,35.149456537565946,-3.979677468,27840666,29411932,-5.342274013,-
1131117,11310,2904,匯僑,其他,41865,43468,35471,-3.687770314,18.025993064757124,408597,373259,9.467420745380554,-
1131117,11310,2905,三商,貿易百貨,19365075,10777230,12658497,79.68508605643565,52.980839668406134,161405768,162278201,-0.537615647,主要係子公司人壽分離帳戶收益、覆蓋法損益及兌換利益較去年同期增加。
1131117,11310,2906,高林,貿易百貨,739700,549761,703185,34.54937691105771,5.192801325,7317477,6494968,12.663788335831677,-
